app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
1145360,Hades,65785,65197,0.9910617922018696,Hades,PC,93.0,61.0,https://www.metacritic.com/game/hades/critic-reviews/?platform=pc,0.93,0.06106179220186958
1055540,A Short Hike,4203,4161,0.9900071377587436,A Short Hike,PC,82.0,13.0,https://www.metacritic.com/game/a-short-hike/critic-reviews/?platform=pc,0.82,0.17000713775874365
427520,Factorio,68492,67804,0.9899550312445248,Factorio,PC,90.0,8.0,https://www.metacritic.com/game/factorio/critic-reviews/?platform=pc,0.9,0.08995503124452475
413150,Stardew Valley,172698,170724,0.9885696418024528,Stardew Valley,PC,89.0,32.0,https://www.metacritic.com/game/stardew-valley/critic-reviews/?platform=pc,0.89,0.09856964180245276
620,Portal 2,107466,106237,0.9885638248376232,Portal 2,PC,95.0,52.0,https://www.metacritic.com/game/portal-2/critic-reviews/?platform=pc,0.95,0.03856382483762322
546560,Half-Life: Alyx,37910,37400,0.9865470852017936,Half-Life: Alyx,PC,93.0,78.0,https://www.metacritic.com/game/half-life-alyx/critic-reviews/?platform=pc,0.93,0.05654708520179352
341800,Keep Talking and Nobody Explodes,5946,5863,0.986041035990582,Keep Talking and Nobody Explodes,PC,71.0,8.0,https://www.metacritic.com/game/keep-talking-and-nobody-explodes/critic-reviews/?platform=pc,0.71,0.27604103599058205
294100,RimWorld,59579,58633,0.984121922153779,RimWorld,PC,87.0,9.0,https://www.metacritic.com/game/rimworld/critic-reviews/?platform=pc,0.87,0.11412192215377903
519860,DUSK,9274,9124,0.983825749406944,DUSK,PC,88.0,20.0,https://www.metacritic.com/game/dusk/critic-reviews/?platform=pc,0.88,0.103825749406944
253230,A Hat in Time,24944,24505,0.9824005772931368,A Hat in Time,PC,79.0,41.0,https://www.metacritic.com/game/a-hat-in-time/critic-reviews/?platform=pc,0.79,0.19240057729313675
787480,Phoenix Wright: Ace Attorney Trilogy,2981,2928,0.982220731298222,Phoenix Wright: Ace Attorney Trilogy,PC,80.0,10.0,https://www.metacritic.com/game/phoenix-wright-ace-attorney-trilogy/critic-reviews/?platform=pc,0.8,0.18222073129822192
736260,Baba Is You,6960,6831,0.9814655172413792,Baba Is You,PC,87.0,10.0,https://www.metacritic.com/game/baba-is-you/critic-reviews/?platform=pc,0.87,0.11146551724137921
420530,OneShot,11350,11137,0.9812334801762116,OneShot,PC,80.0,9.0,https://www.metacritic.com/game/oneshot/critic-reviews/?platform=pc,0.8,0.18123348017621155
105600,Terraria,370240,362988,0.980412705272256,Terraria,PC,83.0,29.0,https://www.metacritic.com/game/terraria/critic-reviews/?platform=pc,0.83,0.15041270527225603
250900,The Binding of Isaac: Rebirth,57771,56633,0.9803015353724188,The Binding of Isaac: Rebirth,PC,86.0,10.0,https://www.metacritic.com/game/the-binding-of-isaac-rebirth/critic-reviews/?platform=pc,0.86,0.12030153537241883
