app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
1145360,Hades,65785,65197,0.9910617922018697,Hades,PC,93.0,58.0,https://www.metacritic.com/game/hades/,0.93,0.06106179220186969
1291340,Townscaper,4469,4429,0.9910494517789215,Townscaper,PC,63.0,6.0,https://www.metacritic.com/game/townscaper/,0.63,0.36104945177892145
1055540,A Short Hike,4203,4161,0.9900071377587437,A Short Hike,PC,88.0,17.0,https://www.metacritic.com/game/a-short-hike/,0.88,0.11000713775874371
427520,Factorio,68492,67804,0.9899550312445249,Factorio,PC,90.0,8.0,https://www.metacritic.com/game/factorio/,0.9,0.08995503124452486
413150,Stardew Valley,172698,170724,0.9885696418024529,Stardew Valley,PC,89.0,30.0,https://www.metacritic.com/game/stardew-valley/,0.89,0.09856964180245287
620,Portal 2,107466,106237,0.9885638248376231,Portal 2,PC,95.0,66.0,https://www.metacritic.com/game/portal-2/,0.95,0.038563824837623106
341800,Keep Talking and Nobody Explodes,5946,5863,0.9860410359905819,Keep Talking and Nobody Explodes,PC,84.0,10.0,https://www.metacritic.com/game/keep-talking-and-nobody-explodes/,0.84,0.14604103599058194
294100,RimWorld,59579,58633,0.984121922153779,RimWorld,PC,87.0,8.0,https://www.metacritic.com/game/rimworld/,0.87,0.11412192215377903
519860,DUSK,9274,9124,0.9838257494069441,DUSK,PC,88.0,19.0,https://www.metacritic.com/game/dusk/,0.88,0.10382574940694411
253230,A Hat in Time,24944,24505,0.9824005772931367,A Hat in Time,PC,79.0,39.0,https://www.metacritic.com/game/a-hat-in-time/,0.79,0.19240057729313664
787480,Phoenix Wright: Ace Attorney Trilogy,2981,2928,0.9822207312982221,Phoenix Wright: Ace Attorney Trilogy,PC,81.0,34.0,https://www.metacritic.com/game/phoenix-wright-ace-attorney-trilogy/,0.81,0.17222073129822202
736260,Baba Is You,6960,6831,0.9814655172413793,Baba Is You,PC,84.0,24.0,https://www.metacritic.com/game/baba-is-you/,0.84,0.14146551724137935
420530,OneShot,11350,11137,0.9812334801762115,OneShot,PC,80.0,8.0,https://www.metacritic.com/game/oneshot/,0.8,0.18123348017621144
105600,Terraria,370240,362988,0.9804127052722559,Terraria,PC,81.0,39.0,https://www.metacritic.com/game/terraria/,0.81,0.17041270527225583
250900,The Binding of Isaac: Rebirth,57771,56633,0.9803015353724187,The Binding of Isaac: Rebirth,PC,88.0,15.0,https://www.metacritic.com/game/the-binding-of-isaac-rebirth/,0.88,0.1003015353724187
646570,Slay the Spire,41684,40861,0.9802562134152193,Slay the Spire,PC,89.0,24.0,https://www.metacritic.com/game/slay-the-spire/,0.89,0.09025621341521928
531510,Just Shapes & Beats,5026,4923,0.9795065658575408,Just Shapes & Beats,PC,83.0,17.0,https://www.metacritic.com/game/just-shapes-beats/,0.83,0.14950656585754085
1113000,Persona 4 Golden,28105,27522,0.9792563600782779,Persona 4 Golden,PC,93.0,61.0,https://www.metacritic.com/game/persona-4-golden/,0.93,0.04925636007827783
337340,Finding Paradise,3805,3726,0.9792378449408673,Finding Paradise,PC,81.0,18.0,https://www.metacritic.com/game/finding-paradise/,0.81,0.16923784494086724
739630,Phasmophobia,129630,126705,0.9774357787549178,Phasmophobia,PC,76.0,9.0,https://www.metacritic.com/game/phasmophobia/,0.76,0.21743577875491782
292030,The Witcher 3: Wild Hunt,151460,147933,0.9767133236498086,The Witcher 3: Wild Hunt,PC,92.0,79.0,https://www.metacritic.com/game/the-witcher-3-wild-hunt/,0.92,0.05671332364980852
48700,Mount & Blade: Warband,57618,56270,0.9766045333055642,Mount & Blade: Warband,PC,78.0,23.0,https://www.metacritic.com/game/mount-blade-warband/,0.78,0.19660453330556416
433340,Slime Rancher,34562,33749,0.9764770557259418,Slime Rancher,PC,81.0,9.0,https://www.metacritic.com/game/slime-rancher/,0.81,0.16647705572594174
504230,Celeste,14863,14512,0.9763843100316222,Celeste,PC,92.0,36.0,https://www.metacritic.com/game/celeste/,0.92,0.05638431003162214
425580,The Room Two,5783,5646,0.9763098737679405,The Room Two,PC,88.0,25.0,https://www.metacritic.com/game/the-room-two/,0.88,0.09630987376794053
526870,Satisfactory,25227,24612,0.9756213580687358,Satisfactory,PC,91.0,18.0,https://www.metacritic.com/game/satisfactory/,0.91,0.06562135806873581
206190,Gunpoint,9340,9112,0.9755888650963598,Gunpoint,PC,83.0,33.0,https://www.metacritic.com/game/gunpoint/,0.83,0.14558886509635982
227300,Euro Truck Simulator 2,81776,79739,0.9750904910976326,Euro Truck Simulator 2,PC,79.0,18.0,https://www.metacritic.com/game/euro-truck-simulator-2/,0.79,0.18509049109763254
250320,The Wolf Among Us,15251,14871,0.9750836010753393,The Wolf Among Us,PC,80.0,13.0,https://www.metacritic.com/game/the-wolf-among-us/,0.8,0.17508360107533927
413420,Danganronpa 2: Goodbye Despair,7347,7158,0.9742752143732135,Danganronpa 2: Goodbye Despair,PC,81.0,50.0,https://www.metacritic.com/game/danganronpa-2-goodbye-despair/,0.81,0.16427521437321346
883710,Resident Evil 2,31904,31070,0.9738590772316951,Resident Evil 2,PC,91.0,85.0,https://www.metacritic.com/game/resident-evil-2/,0.91,0.06385907723169504
548430,Deep Rock Galactic,47002,45773,0.9738521765031275,Deep Rock Galactic,PC,85.0,20.0,https://www.metacritic.com/game/deep-rock-galactic/,0.85,0.12385217650312752
1240210,There Is No Game: Wrong Dimension,2973,2895,0.9737638748738647,There is no game : Wrong dimension,PC,87.0,10.0,https://www.metacritic.com/game/there-is-no-game-wrong-dimension/,0.87,0.10376387487386474
238460,BattleBlock Theater,24711,24057,0.9735340536603132,BattleBlock Theater,PC,85.0,51.0,https://www.metacritic.com/game/battleblock-theater/,0.85,0.12353405366031323
288160,The Room,8052,7828,0.972180824639841,The Room,PC,75.0,22.0,https://www.metacritic.com/game/the-room/,0.75,0.222180824639841
205100,Dishonored,33594,32643,0.9716913734595464,Dishonored,PC,88.0,56.0,https://www.metacritic.com/game/dishonored/,0.88,0.09169137345954637
413410,Danganronpa: Trigger Happy Havoc,10013,9724,0.9711375212224108,Danganronpa: Trigger Happy Havoc,PC,80.0,55.0,https://www.metacritic.com/game/danganronpa-trigger-happy-havoc/,0.8,0.17113752122241077
219150,Hotline Miami,31172,30256,0.9706146541768254,Hotline Miami,PC,85.0,51.0,https://www.metacritic.com/game/hotline-miami/,0.85,0.12061465417682538
213670,South Park™: The Stick of Truth™,23239,22549,0.9703085330694092,South Park: The Stick of Truth,PC,85.0,48.0,https://www.metacritic.com/game/south-park-the-stick-of-truth/,0.85,0.12030853306940925
1057090,Ori and the Will of the Wisps,14417,13980,0.9696885621141708,Ori and the Will of the Wisps,PC,90.0,71.0,https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/,0.9,0.06968856211417074
214560,Mark of the Ninja,9245,8961,0.9692806922660898,Mark of the Ninja,PC,90.0,51.0,https://www.metacritic.com/game/mark-of-the-ninja/,0.9,0.0692806922660898
367520,Hollow Knight,109538,106166,0.9692161624276506,Hollow Knight,PC,90.0,28.0,https://www.metacritic.com/game/hollow-knight/,0.9,0.06921616242765061
698780,Doki Doki Literature Club,89504,86718,0.9688728995352163,Doki Doki Literature Club!,PC,78.0,7.0,https://www.metacritic.com/game/doki-doki-literature-club/,0.78,0.18887289953521624
221640,Super Hexagon,14869,14398,0.9683233573205999,Super Hexagon,PC,86.0,17.0,https://www.metacritic.com/game/super-hexagon/,0.86,0.10832335732059994
219740,Don't Starve,33978,32883,0.9677732650538584,Don't Starve,PC,78.0,36.0,https://www.metacritic.com/game/dont-starve/,0.78,0.18777326505385838
512900,Streets of Rogue,6970,6729,0.9654232424677188,Streets of Rogue,PC,82.0,5.0,https://www.metacritic.com/game/streets-of-rogue/,0.82,0.14542324246771887
239030,"Papers, Please",24075,23242,0.9653997923156802,"Papers, Please",PC,85.0,40.0,https://www.metacritic.com/game/papers-please/,0.85,0.1153997923156802
274190,Broforce,19588,18908,0.9652848682867061,Broforce,PC,83.0,32.0,https://www.metacritic.com/game/broforce/,0.83,0.13528486828670616
620980,Beat Saber,35767,34523,0.9652193362596807,Beat Saber,PC,86.0,24.0,https://www.metacritic.com/game/beat-saber/,0.86,0.10521933625968072
555220,Detention,2046,1974,0.9648093841642229,Detention,PC,83.0,18.0,https://www.metacritic.com/game/detention/,0.83,0.13480938416422295
250760,Shovel Knight: Treasure Trove,9830,9477,0.964089521871821,Shovel Knight: Treasure Trove,PC,91.0,17.0,https://www.metacritic.com/game/shovel-knight-treasure-trove/,0.91,0.05408952187182092
204360,Castle Crashers,31427,30298,0.9640754765010978,Castle Crashers,PC,82.0,49.0,https://www.metacritic.com/game/castle-crashers/,0.82,0.14407547650109787
588650,Dead Cells,21699,20906,0.9634545370754413,Dead Cells,PC,89.0,36.0,https://www.metacritic.com/game/dead-cells/,0.89,0.07345453707544125
212680,FTL: Faster Than Light,43688,42084,0.9632851126167369,FTL: Faster Than Light,PC,84.0,42.0,https://www.metacritic.com/game/ftl-faster-than-light/,0.84,0.12328511261673691
748490,The Legend of Heroes: Trails of Cold Steel II,1160,1117,0.9629310344827586,The Legend of Heroes: Trails of Cold Steel II,PC,80.0,26.0,https://www.metacritic.com/game/the-legend-of-heroes-trails-of-cold-steel-ii/,0.8,0.16293103448275859
312530,Duck Game,13195,12705,0.9628647214854111,Duck Game,PC,83.0,9.0,https://www.metacritic.com/game/duck-game/,0.83,0.13286472148541117
322330,Don't Starve Together,70020,67401,0.9625964010282776,Don't Starve Together,PC,83.0,4.0,https://www.metacritic.com/game/dont-starve-together/,0.83,0.13259640102827763
270880,American Truck Simulator,35313,33975,0.9621102710050123,American Truck Simulator,PC,76.0,31.0,https://www.metacritic.com/game/american-truck-simulator/,0.76,0.20211027100501233
