Title,Platform,Metascore,NumberOfCriticReviews,url
Hades,PC,93.0,58.0,https://www.metacritic.com/game/hades/
Townscaper,PC,63.0,6.0,https://www.metacritic.com/game/townscaper/
A Short Hike,PC,88.0,17.0,https://www.metacritic.com/game/a-short-hike/
Factorio,PC,90.0,8.0,https://www.metacritic.com/game/factorio/
Stardew Valley,PC,89.0,30.0,https://www.metacritic.com/game/stardew-valley/
Portal 2,PC,95.0,66.0,https://www.metacritic.com/game/portal-2/
Keep Talking and Nobody Explodes,PC,84.0,10.0,https://www.metacritic.com/game/keep-talking-and-nobody-explodes/
RimWorld,PC,87.0,8.0,https://www.metacritic.com/game/rimworld/
DUSK,PC,88.0,19.0,https://www.metacritic.com/game/dusk/
A Hat in Time,PC,79.0,39.0,https://www.metacritic.com/game/a-hat-in-time/
Phoenix Wright: Ace Attorney Trilogy,PC,81.0,34.0,https://www.metacritic.com/game/phoenix-wright-ace-attorney-trilogy/
Baba Is You,PC,84.0,24.0,https://www.metacritic.com/game/baba-is-you/
OneShot,PC,80.0,8.0,https://www.metacritic.com/game/oneshot/
Terraria,PC,81.0,39.0,https://www.metacritic.com/game/terraria/
The Binding of Isaac: Rebirth,PC,88.0,15.0,https://www.metacritic.com/game/the-binding-of-isaac-rebirth/
Slay the Spire,PC,89.0,24.0,https://www.metacritic.com/game/slay-the-spire/
Just Shapes & Beats,PC,83.0,17.0,https://www.metacritic.com/game/just-shapes-beats/
Persona 4 Golden,PC,93.0,61.0,https://www.metacritic.com/game/persona-4-golden/
Finding Paradise,PC,81.0,18.0,https://www.metacritic.com/game/finding-paradise/
Phasmophobia,PC,76.0,9.0,https://www.metacritic.com/game/phasmophobia/
The Witcher 3: Wild Hunt,PC,92.0,79.0,https://www.metacritic.com/game/the-witcher-3-wild-hunt/
Mount & Blade: Warband,PC,78.0,23.0,https://www.metacritic.com/game/mount-blade-warband/
Slime Rancher,PC,81.0,9.0,https://www.metacritic.com/game/slime-rancher/
Celeste,PC,92.0,36.0,https://www.metacritic.com/game/celeste/
The Room Two,PC,88.0,25.0,https://www.metacritic.com/game/the-room-two/
Satisfactory,PC,91.0,18.0,https://www.metacritic.com/game/satisfactory/
Gunpoint,PC,83.0,33.0,https://www.metacritic.com/game/gunpoint/
Euro Truck Simulator 2,PC,79.0,18.0,https://www.metacritic.com/game/euro-truck-simulator-2/
The Wolf Among Us,PC,80.0,13.0,https://www.metacritic.com/game/the-wolf-among-us/
Danganronpa 2: Goodbye Despair,PC,81.0,50.0,https://www.metacritic.com/game/danganronpa-2-goodbye-despair/
Resident Evil 2,PC,91.0,85.0,https://www.metacritic.com/game/resident-evil-2/
Deep Rock Galactic,PC,85.0,20.0,https://www.metacritic.com/game/deep-rock-galactic/
There is no game : Wrong dimension,PC,87.0,10.0,https://www.metacritic.com/game/there-is-no-game-wrong-dimension/
BattleBlock Theater,PC,85.0,51.0,https://www.metacritic.com/game/battleblock-theater/
The Room,PC,75.0,22.0,https://www.metacritic.com/game/the-room/
Dishonored,PC,88.0,56.0,https://www.metacritic.com/game/dishonored/
Danganronpa: Trigger Happy Havoc,PC,80.0,55.0,https://www.metacritic.com/game/danganronpa-trigger-happy-havoc/
Hotline Miami,PC,85.0,51.0,https://www.metacritic.com/game/hotline-miami/
South Park: The Stick of Truth,PC,85.0,48.0,https://www.metacritic.com/game/south-park-the-stick-of-truth/
Ori and the Will of the Wisps,PC,90.0,71.0,https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/
Mark of the Ninja,PC,90.0,51.0,https://www.metacritic.com/game/mark-of-the-ninja/
Hollow Knight,PC,90.0,28.0,https://www.metacritic.com/game/hollow-knight/
Doki Doki Literature Club!,PC,78.0,7.0,https://www.metacritic.com/game/doki-doki-literature-club/
Super Hexagon,PC,86.0,17.0,https://www.metacritic.com/game/super-hexagon/
Don't Starve,PC,78.0,36.0,https://www.metacritic.com/game/dont-starve/
Streets of Rogue,PC,82.0,5.0,https://www.metacritic.com/game/streets-of-rogue/
"Papers, Please",PC,85.0,40.0,https://www.metacritic.com/game/papers-please/
Broforce,PC,83.0,32.0,https://www.metacritic.com/game/broforce/
Beat Saber,PC,86.0,24.0,https://www.metacritic.com/game/beat-saber/
Detention,PC,83.0,18.0,https://www.metacritic.com/game/detention/
The Walking Dead: Survival Instinct,PC,32.0,30.0,https://www.metacritic.com/game/the-walking-dead/
Shovel Knight: Treasure Trove,PC,91.0,17.0,https://www.metacritic.com/game/shovel-knight-treasure-trove/
Castle Crashers,PC,82.0,49.0,https://www.metacritic.com/game/castle-crashers/
Dead Cells,PC,89.0,36.0,https://www.metacritic.com/game/dead-cells/
FTL: Faster Than Light,PC,84.0,42.0,https://www.metacritic.com/game/ftl-faster-than-light/
The Legend of Heroes: Trails of Cold Steel II,PC,80.0,26.0,https://www.metacritic.com/game/the-legend-of-heroes-trails-of-cold-steel-ii/
Duck Game,PC,83.0,9.0,https://www.metacritic.com/game/duck-game/
Don't Starve Together,PC,83.0,4.0,https://www.metacritic.com/game/dont-starve-together/
American Truck Simulator,PC,76.0,31.0,https://www.metacritic.com/game/american-truck-simulator/
Steins;Gate,PC,83.0,16.0,https://www.metacritic.com/game/steinsgate/
To the Moon,PC,81.0,26.0,https://www.metacritic.com/game/to-the-moon/
Sid Meier's Civilization V,PC,90.0,70.0,https://www.metacritic.com/game/sid-meiers-civilization-v/
Among Us,PC,85.0,9.0,https://www.metacritic.com/game/among-us/
Oxygen Not Included,PC,85.0,5.0,https://www.metacritic.com/game/oxygen-not-included/
Undertale,PC,92.0,43.0,https://www.metacritic.com/game/undertale/
Cuphead,PC,86.0,72.0,https://www.metacritic.com/game/cuphead/
Enter the Gungeon,PC,82.0,33.0,https://www.metacritic.com/game/enter-the-gungeon/
Black Mesa,PC,84.0,26.0,https://www.metacritic.com/game/black-mesa/
Yakuza 0,PC,85.0,87.0,https://www.metacritic.com/game/yakuza-0/
Subnautica,PC,87.0,39.0,https://www.metacritic.com/game/subnautica/
GRIS,PC,83.0,43.0,https://www.metacritic.com/game/gris/
Outlast,PC,80.0,59.0,https://www.metacritic.com/game/outlast/
The Binding of Isaac,PC,84.0,30.0,https://www.metacritic.com/game/the-binding-of-isaac/
Senran Kagura: Estival Versus,PC,67.0,25.0,https://www.metacritic.com/game/senran-kagura-estival-versus/
Steins;Gate 0,PC,81.0,20.0,https://www.metacritic.com/game/steinsgate-0/
Monster Prom,PC,73.0,11.0,https://www.metacritic.com/game/monster-prom/
DOOM,PC,79.0,66.0,https://www.metacritic.com/game/doom/
Saints Row: The Third,PC,84.0,70.0,https://www.metacritic.com/game/saints-row-the-third/
Human: Fall Flat,PC,70.0,21.0,https://www.metacritic.com/game/human-fall-flat/
Tomb Raider,PC,86.0,70.0,https://www.metacritic.com/game/tomb-raider/
Super Meat Boy,PC,90.0,51.0,https://www.metacritic.com/game/super-meat-boy/
Overcooked! 2,PC,81.0,38.0,https://www.metacritic.com/game/overcooked-2/
Kenshi,PC,75.0,9.0,https://www.metacritic.com/game/kenshi/
Night in the Woods,PC,88.0,30.0,https://www.metacritic.com/game/night-in-the-woods/
Crusader Kings III,PC,91.0,61.0,https://www.metacritic.com/game/crusader-kings-iii/
Total War: WARHAMMER II,PC,87.0,69.0,https://www.metacritic.com/game/total-war-warhammer-ii/
BioShock Infinite,PC,94.0,68.0,https://www.metacritic.com/game/bioshock-infinite/
Cave Story,PC,89.0,25.0,https://www.metacritic.com/game/cave-story/
Into the Breach,PC,90.0,56.0,https://www.metacritic.com/game/into-the-breach/
Pit People,PC,78.0,15.0,https://www.metacritic.com/game/pit-people/
20XX,PC,77.0,14.0,https://www.metacritic.com/game/20xx/
Dying Light,PC,74.0,58.0,https://www.metacritic.com/game/dying-light/
My Time At Portia,PC,73.0,37.0,https://www.metacritic.com/game/my-time-at-portia/
Momodora: Reverie Under the Moonlight,PC,76.0,22.0,https://www.metacritic.com/game/momodora-reverie-under-the-moonlight/
Resident Evil 7: biohazard,PC,86.0,100.0,https://www.metacritic.com/game/resident-evil-7-biohazard/
Farm Together,PC,77.0,4.0,https://www.metacritic.com/game/farm-together/
Axiom Verge,PC,84.0,61.0,https://www.metacritic.com/game/axiom-verge/
FAR: Lone Sails,PC,80.0,24.0,https://www.metacritic.com/game/far-lone-sails/
The Elder Scrolls V: Skyrim,PC,96.0,89.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/
Dark Souls III,PC,89.0,69.0,https://www.metacritic.com/game/dark-souls-iii/
Thimbleweed Park,PC,84.0,59.0,https://www.metacritic.com/game/thimbleweed-park/
Sekiro: Shadows Die Twice,PC,90.0,77.0,https://www.metacritic.com/game/sekiro-shadows-die-twice/
"Warhammer 40,000: Mechanicus",PC,78.0,19.0,https://www.metacritic.com/game/warhammer-40000-mechanicus/
Tales of Berseria,PC,79.0,57.0,https://www.metacritic.com/game/tales-of-berseria/
Cities: Skylines,PC,85.0,60.0,https://www.metacritic.com/game/cities-skylines/
Death Stranding,PC,82.0,111.0,https://www.metacritic.com/game/death-stranding/
Rise of the Tomb Raider,PC,86.0,102.0,https://www.metacritic.com/game/rise-of-the-tomb-raider/
Farming Simulator 19,PC,73.0,16.0,https://www.metacritic.com/game/farming-simulator-19/
Frostpunk,PC,84.0,67.0,https://www.metacritic.com/game/frostpunk/
Two Point Hospital,PC,83.0,55.0,https://www.metacritic.com/game/two-point-hospital/
Crash Bandicoot N. Sane Trilogy,PC,80.0,85.0,https://www.metacritic.com/game/crash-bandicoot-n-sane-trilogy/
Devil May Cry HD Collection,PC,77.0,32.0,https://www.metacritic.com/game/devil-may-cry-hd-collection/
Guacamelee! Super Turbo Championship Edition,PC,87.0,30.0,https://www.metacritic.com/game/guacamelee-super-turbo-championship-edition/
Little Nightmares,PC,78.0,52.0,https://www.metacritic.com/game/little-nightmares/
Ghost of a Tale,PC,75.0,25.0,https://www.metacritic.com/game/ghost-of-a-tale/
House Flipper,PC,67.0,7.0,https://www.metacritic.com/game/house-flipper/
The End Is Nigh,PC,84.0,15.0,https://www.metacritic.com/game/the-end-is-nigh/
